タイトル名,最低価格,クレジット最低価格,価格URL
鉄道にっぽん！Real Pro 特急走行！名古屋鉄道編 [Nintendo Switch],6854,6854,https://kakaku.com/item/K0001477339/
電車でGO！！ はしろう山手線 [Nintendo Switch],5150,5150,https://kakaku.com/item/K0001288403/
東方シンセカイ 霊夢と魔理沙の幻想郷大冒険パック [限定版] [Nintendo Switch],6520,6520,https://kakaku.com/item/K0001525505/
AI： ソムニウムファイル ニルヴァーナ イニシアチブ [Nintendo Switch],5485,5485,https://kakaku.com/item/K0001434544/
BLUE REFLECTION TIE 帝 [通常版] [Nintendo Switch],3536,3536,https://kakaku.com/item/K0001368206/
Devil Engine： Complete Edition [Nintendo Switch],3229,3229,https://kakaku.com/item/K0001551902/
FIFA 23 Legacy Edition [Nintendo Switch],3422,3422,https://kakaku.com/item/K0001463516/
Fit Boxing 2 - リズム&エクササイズ - [Nintendo Switch],4900,4973,https://kakaku.com/item/K0001292628/
Gravity Circuit [Nintendo Switch],3145,3145,https://kakaku.com/item/K0001570158/
HOP！ STEP！ DANCE！ [Nintendo Switch],4969,4969,https://kakaku.com/item/K0001568935/
Kizuna AI - Touch the Beat！ [限定版] [Nintendo Switch],6480,6480,https://kakaku.com/item/K0001506270/
Kizuna AI - Touch the Beat！ [通常版] [Nintendo Switch],3864,3864,https://kakaku.com/item/K0001506269/
Party Party Time [Nintendo Switch],2498,2498,https://kakaku.com/item/K0001557356/
SAGA PLANETS 4作品セット [Nintendo Switch],14500,14500,https://kakaku.com/item/K0001546368/
SANABI [通常版] [Nintendo Switch],4122,4122,https://kakaku.com/item/K0001562133/
Sea of Stars [Nintendo Switch],4822,4822,https://kakaku.com/item/K0001570159/
SNOWBROS. NICK & TOM SPECIAL [通常版] [Nintendo Switch],2835,2835,https://kakaku.com/item/K0001423786/
アイ★チュウ [通常版] [Nintendo Switch],6521,6521,https://kakaku.com/item/K0001466648/
アライアンス・アライブ HDリマスター [Nintendo Switch],2560,2560,https://kakaku.com/item/K0001169727/
インディヴィジブル 闇を祓う魂たち [Nintendo Switch],1050,1050,https://kakaku.com/item/K0001254517/
カブトクワガタ デラックス [Nintendo Switch],3121,3121,https://kakaku.com/item/K0001570157/
クドわふたー Converted Edition [Nintendo Switch],4284,4284,https://kakaku.com/item/K0001570162/
クライシス コア - ファイナルファンタジーVII - リユニオン [Nintendo Switch],4830,4830,https://kakaku.com/item/K0001472563/
クライマキナ CRYMACHINA [通常版] [Nintendo Switch],5780,5780,https://kakaku.com/item/K0001519956/
クライマキナ CRYMACHINA 数量限定はなまるBOX [Nintendo Switch],9256,9256,https://kakaku.com/item/K0001519975/
じゃんがりあん物語 でらっくちゅ [Nintendo Switch],2228,2228,https://kakaku.com/item/K0001577144/
ジョジョの奇妙な冒険 オールスターバトル R [Nintendo Switch],5070,5070,https://kakaku.com/item/K0001447975/
スーパーマリオメーカー 2 [Nintendo Switch],5355,5355,https://kakaku.com/item/K0001129823/
スーパーリアル麻雀 LOVE2～7！ [通常版] [Nintendo Switch],5390,5390,https://kakaku.com/item/K0001221923/
スーパーロボット大戦30 [Nintendo Switch],3199,3199,https://kakaku.com/item/K0001362400/
ゼルダ無双 厄災の黙示録 [通常版] [Nintendo Switch],6549,6551,https://kakaku.com/item/K0001288377/
タイトーマイルストーン2 [Nintendo Switch],4153,4153,https://kakaku.com/item/K0001546157/
ディズニー イリュージョンアイランド ～ミッキー&フレンズの不思議な冒険～ [Nintendo Switch],4000,4000,https://kakaku.com/item/K0001540903/
テミラーナ国の強運姫と悲運騎士団 [通常版] [Nintendo Switch],5263,5263,https://kakaku.com/item/K0001507746/
テレネット シューティング コレクション [限定版] [Nintendo Switch],10112,10112,https://kakaku.com/item/K0001512177/
ときめきメモリアル Girl's Side 4th Heart [通常版] [Nintendo Switch],6627,6627,https://kakaku.com/item/K0001362401/
ドラゴンクエスト トレジャーズ 蒼き瞳と大空の羅針盤 [Nintendo Switch],6250,6250,https://kakaku.com/item/K0001456174/
ドラゴンボールZ KAKAROT + 新たなる覚醒セット [Nintendo Switch],5069,5069,https://kakaku.com/item/K0001362399/
ふたりで！にゃんこ大戦争 [通常版] [Nintendo Switch],1982,1982,https://kakaku.com/item/K0001294958/
ポケットモンスター スカーレット・バイオレット ダブルパック [Nintendo Switch],12181,12181,https://kakaku.com/item/K0001464056/
ミスト探偵 [Nintendo Switch],2480,2480,https://kakaku.com/item/K0001494791/
ミュータント タートルズ：シュレッダーの復讐 アニバーサリーエディション [Nintendo Switch],3391,3391,https://kakaku.com/item/K0001577143/
ユニコーンオーバーロード [通常版] [Nintendo Switch],7075,7075,https://kakaku.com/item/K0001568923/
ライザのアトリエ3 ～終わりの錬金術士と秘密の鍵～ [Nintendo Switch],6800,6800,https://kakaku.com/item/K0001472560/
リアセカイ [Nintendo Switch],4900,4900,https://kakaku.com/item/K0001554778/
ロックマン ゼロ&ゼクス ダブルヒーローコレクション [ダウンロード版] [Nintendo Switch],3590,3590,https://kakaku.com/item/K0001376744/
英雄伝説 零の軌跡：改 [Nintendo Switch],3000,3000,https://kakaku.com/item/K0001535415/
五等分の花嫁 ごとぱずストーリー 豪華イラスト画集 中野五月セット [Nintendo Switch],4090,4090,https://kakaku.com/item/K0001516252/
上海LEGEND [Nintendo Switch],3188,3188,https://kakaku.com/item/K0001576552/
真・女神転生V [Nintendo Switch],5431,5431,https://kakaku.com/item/K0000935165/
大正×対称アリス all in one [Nintendo Switch],5880,5880,https://kakaku.com/item/K0001125435/
東方シンセカイ [通常版] [Nintendo Switch],4242,4242,https://kakaku.com/item/K0001525504/
夢幻戦士ヴァリスCOLLECTION III [通常版] [Nintendo Switch],6918,6918,https://kakaku.com/item/K0001570155/
役づくりパズル ゆめいろユラム [Nintendo Switch],4980,4980,https://kakaku.com/item/K0001557665/
